sign,video_url,hint,notes
which,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-24-20h23m53s-BSL_CN_lex_b.mpg-.mp4,,
what,https://media.signbsl.com/videos/bsl/nf/mp4/What.mp4,,
where,https://media.signbsl.com/videos/bsl/signstation/where.mp4,,
who,https://media.signbsl.com/videos/bsl/signstation/WHO-3.mp4,,
why,https://media.signbsl.com/videos/bsl/signstation/why.mp4,,
when,https://media.signbsl.com/videos/bsl/signmonkey/mp4/when.mp4,,
how,https://media.signbsl.com/videos/bsl/signstation/how.mp4,,
one,https://media.signbsl.com/videos/bsl/signstation/one.mp4,,
two,https://media.signbsl.com/videos/bsl/signstation/two.mp4,,
three,https://media.signbsl.com/videos/bsl/signstation/three.mp4,,
four,https://media.signbsl.com/videos/bsl/signstation/four.mp4,,
five,https://media.signbsl.com/videos/bsl/signstation/five.mp4,,
six,https://media.signbsl.com/videos/bsl/signstation/six.mp4,,
seven,https://media.signbsl.com/videos/bsl/signstation/seven.mp4,,
eight,https://media.signbsl.com/videos/bsl/signstation/eight.mp4,,
nine,https://media.signbsl.com/videos/bsl/signstation/nine.mp4,,
ten,,,
twenty,https://media.signbsl.com/videos/bsl/signstation/20.mp4,,
twenty five,https://media.signbsl.com/videos/bsl/signstation/25.mp4,,
thirty,https://media.signbsl.com/videos/bsl/signstation/30.mp4,,
forty,https://media.signbsl.com/videos/bsl/signstation/40.mp4,,
fifty,https://media.signbsl.com/videos/bsl/signstation/50.mp4,,
sixty,https://media.signbsl.com/videos/bsl/signstation/60.mp4,,
seventy,https://media.signbsl.com/videos/bsl/signstation/70.mp4,,
eighty,https://media.signbsl.com/videos/bsl/signstation/80.mp4,,
ninety,https://media.signbsl.com/videos/bsl/signstation/90.mp4,,
one hundred,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-16-16h37m13s-BSL_CN_lex_b.mpg-.mp4,,
one thousand,,,
one million,https://media.signbsl.com/videos/bsl/corpusngt/mp4/vlc-record-2015-04-16-16h37m28s-BSL_CN_lex_b.mpg-.mp4,,
